Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
1.375000,1.362366,0.480835,-7.253479,-2.083618,-0.400696,7.884216
1.380000,2.003479,-0.320557,-7.568848,0.480835,0.320557,-2.522949
1.385000,4.327515,-0.560974,-0.315369,-1.522644,-0.320557,0.315369
1.390000,1.362366,-1.763062,-6.307373,0.480835,-1.522644,2.522949
1.395000,3.285706,-0.721252,0.946106,-0.080139,-1.442505,-5.361267
1.400000,2.324036,-0.240417,10.407166,-0.560974,-0.480835,-5.992005
1.405000,2.965149,0.560974,-2.207581,-2.163757,1.843201,-3.784424
1.410000,2.083618,-0.480835,-7.884216,-0.320557,0.320557,4.099793
1.415000,1.362366,-0.400696,-3.153687,-1.282227,-0.801392,2.838318
1.420000,0.801392,-1.121948,-2.207581,0.560974,-0.080139,3.469055
1.425000,2.404175,-0.881531,1.261475,0.320557,-0.881531,-3.153687
1.430000,1.282227,-0.240417,-5.992005,-0.160278,-0.961670,0.946106
1.435000,0.721252,-0.480835,-8.199585,-0.801392,-0.160278,-7.253479
1.440000,0.400696,-0.801392,-3.469055,-0.320557,2.404175,-4.730530
1.445000,4.167236,-0.801392,-7.568848,-2.083618,-0.480835,7.884216
1.450000,2.083618,0.400696,-9.145691,0.560974,-0.400696,-0.630737
1.455000,0.641113,0.160278,-1.261475,-1.202087,-0.320557,-1.892212
1.460000,2.484314,-0.000000,0.630737,-0.560974,-0.560974,0.946106
1.465000,1.442505,-0.801392,5.676636,-0.961670,-0.641113,-5.045899
1.470000,1.442505,-0.881531,-4.099793,-1.763062,1.843201,7.568848
1.475000,2.243897,-0.160278,0.946106,1.442505,0.560974,-3.153687
1.480000,4.968628,0.721252,0.315369,-0.160278,-0.320557,-1.261475
1.485000,2.484314,-1.362366,-5.676636,0.480835,-0.721252,-3.469055
1.490000,2.644592,1.041809,9.461060,-0.961670,-0.480835,-2.522949
1.495000,0.801392,-0.240417,0.315369,-1.121948,0.480835,7.253479
1.500000,2.804871,-1.843201,-10.407166,-0.080139,-0.801392,-4.099793
1.505000,3.045288,-0.080139,-8.514954,0.480835,-0.641113,4.730530
1.510000,1.682922,-0.801392,-2.838318,-0.080139,0.480835,-5.992005
1.515000,3.285706,0.881531,-2.838318,0.881531,0.400696,13.560852
1.520000,2.003479,-0.080139,5.676636,0.721252,-0.400696,-0.946106
